"","Film","Released","OpeningDay","OpeningWeekend","Openingweek","Lifetime","Verdict","UserID","DOP","Category","Subcatagory","Title","Description","NoofComments","URL","Author","Duration","FavCount","ViewConunt","DislikeCount","LikesCount","UploaderID","VideoID","AvgRt","NoodRaters","fb_share_count","fb_like_count","fb_comment_count","twitter_share_count","yt_publish","payoff_days"
"1","Margarita With A Straw",2015-04-17,0.5,2.12,3.28,3.28,"Not Declared","s56ffejFhWlCvlvRIdpb9Q","2014-09-12T12:56:52.000Z","Entertainment","Entertainment","Margarita, with a Straw | Trailer | Kalki Koechlin","Here’s the trailer of Margarita with a Straw, starring Kalki Koechlin. This is an intensely personal film dealing with a topic that hardly any movies have met on - sexuality and disability.
This is a tale about a young rebellious woman who embarks on a breathtaking journey of self-discovery.

Like Us On Facebook :
https://www.facebook.com/MargaritaWithAStraw 

Follow Us On Twitter :
https://twitter.com/Viacom18Movies

Subscribe Us: http://goo.gl/PcBWx6",68,"https://m.youtube.com/details?v=YORjJiWBxAg","Viacom18 Motion Pictures",186,"0","308109","45","1715","UCs56ffejFhWlCvlvRIdpb9Q","YORjJiWBxAg",4.8977275,1760,1996,4837,1438,300,2014-09-12,217
"2","Mr. X",2015-04-17,4.5,13.99,22.75,24.79,"Not Declared","LyYEq4ODlw3OD9qhGqwimw","2015-03-09T20:00:21.000Z","Film","Film & Animation","Mr. X Official Trailer 1 (2015) - Vikram Bhatt Movie HD","Subscribe to TRAILERS: http://bit.ly/sxaw6h
Subscribe to COMING SOON: http://bit.ly/H2vZUn
Subscribe to INDIE & FILM FESTIVALS: http://bit.ly/1wbkfYg
Like us on FACEBOOK: http://goo.gl/dHs73
Follow us on TWITTER: http://bit.ly/1ghOWmt
Mr. X Official Trailer 1 (2015) - Vikram Bhatt Movie HD

Directed by Bollywood’s top horror filmmaker Vikram Bhatt, Mr. X is a sci-fi thriller starring Emraan Hashmi which tells of a man who confronts the power of invisibility.",48,"https://m.youtube.com/details?v=3RrIw7kgc3s","Film Festivals and Indie Films",100,"0","330792","93","451","UCLyYEq4ODlw3OD9qhGqwimw","3RrIw7kgc3s",4.3161764,544,90,122,60,28,2015-03-09,39
"3","Dharam Sankat Mein",2015-04-10,1.3,5,10,10,"Flop","s56ffejFhWlCvlvRIdpb9Q","2015-03-17T09:45:24.000Z","Entertainment","Entertainment","Dharam Sankat Mein | Official Trailer | In Cinemas 10th April 2015","Book Tickets Now at http://bit.ly/1NNgEZR

Dharam Sankat Mein is an upcoming movie starring Paresh Rawal, Annu Kapoor & Naseeruddin Shah. 
Directed by Fuwad Khan 
Produced by Viacom18 Motion Pictures, Shariq Patel, Sajjad Chunawala.  
Screenplay Alpesh Dixit, Sanjay Sharma, Vijay Desai & Vedish.  
Music by Meet Bros, Anjjan, Sachin Gupta and Jatinder Shah 
Lyrics by Kumaar.


WhatsApp us your Dharam Sankat Moments on +91-9820639433

Join Us On:
Facebook - https://www.facebook.com/DharamSankatMein
Twitter - https://www.twitter.com/DharamSankat

Visit us on www.dharamsankatmein.com",275,"https://m.youtube.com/details?v=qNripK67rH0","Viacom18 Motion Pictures",149,"0","1145876","216","2287","UCs56ffejFhWlCvlvRIdpb9Q","qNripK67rH0",4.6548142,2503,938,27332,1104,4470,2015-03-17,24
"4","Ek Paheli Leela",2015-04-10,5.3,15.85,24,26.57,"Plus","q-Fj5jknLsUf-MWSy4_brA","2015-02-06T07:38:42.000Z","Music","Music","Trailer - 'Ek Paheli Leela' | Sunny Leone | T-Series","Watch the TRAILER of Gulshan Kumar presents 'Ek Paheli Leela'  a T-Series Film & a Paperdoll Entertainment Productions starring Sunny Leone in a sizzling and scintillating avatar, Written and Directed by Bobby Khan, Produced by Bhushan Kumar, Krishan Kumar, Ahmed Khan, Shaira Khan, Co-Produced by Ajay Kapoor also has Jay Bhanushali, Rajneesh Duggal and Rahul Dev in the lead roles.
SUBSCRIBE and Be the first to watch the songs of Leela.

Enjoy and stay connected with us!!

Subscribe T-Series channel for unlimited entertainment
http://www.youtube.com/tseries

Circle us on G+
http://www.google.com/+tser...

Like us on Facebook
http://www.facebook.com/tse...

Follow us on
http://www.twitter.com/tseries

Find us on
http://pinterest.com/tseries",2702,"https://m.youtube.com/details?v=azRVCV2k3Uc","T-Series",180,"0","15390707","6730","24091","UCq-Fj5jknLsUf-MWSy4_brA","azRVCV2k3Uc",4.1265697,30821,3096,65565,5869,5953,2015-02-06,63
"5","Detective Byomkesh Bakshy",2015-04-03,4.2,14,20,26.68,"Average","bTLwN10NoCU4WDzLf1JMOA","2015-01-21T10:40:55.000Z","Film","Film & Animation","Detective Byomkesh Bakshy - TRAILER - Sushant Singh Rajput","""Detective Byomkesh Bakshy"" - Exclusive Official Trailer
<U+25BA> Buy from iTunes - http://goo.gl/NMFWLs 

Release Date: 3 April 2015 
Starring: Sushant Singh Rajput
Directed & Produced by: Dibakar Banerjee

Set Songs as your Caller Tune (India only):
<U+25BA> Calcutta Kiss - http://tinyurl.com/n667xtf
<U+25BA> Bach Ke Bakshy - http://tinyurl.com/mssjb37
<U+25BA> Byomkesh In Love - http://tinyurl.com/lms6u83
<U+25BA> Jaanam - http://tinyurl.com/mnewbd3
<U+25BA> Chase In Chinatown - http://tinyurl.com/pd6dewf
<U+25BA> Life’s A Bitch - http://tinyurl.com/of3opha
<U+25BA> Yang Guang Lives - http://tinyurl.com/p6z48qv

Stay tuned to YRF for more videos: http://goo.gl/vyOc8o

For mobile downloads sms DBB to 53131 (for India only).

Enjoy & stay connected with us!

<U+25BA> Follow us on: https://vine.co/yrf
<U+25BA> Website: http://detectivebyomkeshbakshy.com
<U+25BA> Like us on Facebook: https://facebook.com/detectivebyomkeshbakshy
<U+25BA> Follow us on Twitter: https://twitter.com/byomkeshbakshy
<U+25BA> Circle us on G+: https://plus.google.com/+yrf
<U+25BA> Follow us on Instagram: http://instagram.com/yrf

In a contemporary interpretation of war torn Calcutta during the 1940's, the film follows the first adventure of Byomkesh (Sushant Singh Rajput), fresh out of college, as he pits himself against an evil genius who is out to destroy the world. It's his wits against the most villainous arch criminal the world has seen, in a world of murder, international political intrigue and seduction.

A War... 
A Mystery...
A Detective...
Expect The Unexpected...",1127,"https://m.youtube.com/details?v=ZG--GOpi_0g","YRF",153,"0","2921052","794","9196","UCbTLwN10NoCU4WDzLf1JMOA","ZG--GOpi_0g",4.682082,9990,7956,24327,6388,4102,2015-01-21,72
"6","Hunterrr",2015-03-20,1.6,5.1,10,13.5,"Hit","F1JIbMUs6uqoZEY1Haw0GQ","2015-01-15T08:48:40.000Z","Entertainment","Entertainment","Hunterrr (2015) Official Trailer | Gulshan Devaiah, Radhika Apte, Sai Tamhankar | Latest Bollywood","Watch the Exclusive Official Theatrical Trailer of ""Hunterrr"" featuring Gulshan Devaiah | Radhika Apte | Sai Tamhankar | Sagar Deshmukh | Veera Saxena | Rachel D'souza. 
Releasing 20th Mar 2015

WRITTEN & DIRECTED BY Harshavardhan Kulkarni

MUSIC - Khamosh Shah

LYRICS - Swanand Kirkire | Vijay Maurya | Azazul Haque | Khamosh Shah

PRODUCERS - Kirti Nakhwa | Rohit Chugani |  Ketan Maru | Vikas Bahl | Vikramaditya Motwane | Anurag Kashyap

DOP - John Jacob Payyapalli

EDITOR - Kirti Nakhwa

SOUND DESIGN - Subash Sahoo

BACKGROUND SCORE - Hitesh Sonik 

DIALOGUES -  Harshavardhan Kulkarni | Vijay Maurya

PRODUCTION DESIGNER - Sandeep Shelar 

ASSOCIATE DIRECTOR - Prateek Vats

COSTUME DESIGNER - Taaneeya Oak

MAKE - UP DESIGN - Vikram Gaikwad 

PUBLICITY DESIGN - Jump

PR - Spice

PROMO CAMPAIGN - Promoshop

LINE PRODUCERS - Robin Dcruz | Doris George

EXECUTIVE PRODUCERS - Ranjan Singh | Satyen Chandiramani | Alen Mcalex

CO - PRODUCERS - Mansi Maroo | Rita Patel | Amitabh Shukla | Raja Tangudu

Be the first one to watch Exclusive Hunterrr Videos, SUBSCRIBE now to http://youtube.com/shemarooent

Connect with us on :- 
Facebook - https://www.facebook.com/ShemarooEnt
Twitter - https://twitter.com/ShemarooEnt
Google+ -https://plus.google.com/+shemaroo 
Pinterest - http://pinterest.com/shemaroo",448,"https://m.youtube.com/details?v=ytDp30vuiCo","Shemaroo",152,"0","4474242","721","3599","UCF1JIbMUs6uqoZEY1Haw0GQ","ytDp30vuiCo",4.3324075,4320,2161,22054,1554,770,2015-01-15,64
"7","Dilliwaali Zaalim Girlfriend",2015-03-20,0.6,1.75,2.5,2.5,"Flop","q-Fj5jknLsUf-MWSy4_brA","2015-02-16T12:20:40.000Z","Music","Music","Dilliwaali Zaalim Girlfriend Trailer | Jackie Shroff, Divyendu Sharma | Yo Yo Honey Singh | T-Series","Watch the exclusive trailer of Dilliwaali Zaalim Girlfriend starring Jackie Shroff, Divyendu Sharma with Yo Yo Honey Singh's Birthday Bash video song teaser. 

SUBSCRIBE to Watch Birthday Bash Full Video Song on 18th February.

Release date : 20th march
Directed by - Japinder Kaur
Actors : Ira Dubey, Divyendu Sharma, Jackie Shroff, Pradhuman Singh, Prachi Mishra 

Enjoy and stay connected with us!!

Subscribe T-Series channel for unlimited entertainment
http://www.youtube.com/tseries

Circle us on G+
http://www.google.com/+tser...

Like us on Facebook
http://www.facebook.com/tse...

Follow us on
http://www.twitter.com/tseries

Find us on
http://pinterest.com/tseries",276,"https://m.youtube.com/details?v=NjYG9ccLD0A","T-Series",195,"0","2228611","772","4209","UCq-Fj5jknLsUf-MWSy4_brA","NjYG9ccLD0A",4.380044,4981,1033,69315,2890,719,2015-02-16,32
"8","NH10",2015-03-13,3.35,13.3,20.5,32.1,"Hit","X52tYZiEh_mHoFja3Veciw","2015-02-05T12:30:01.000Z","Entertainment","Entertainment","NH10 Official Trailer | Anushka Sharma, Neil Bhoopalam, Darshan Kumaar | Releasing 13th March","This season, the only way to survive amongst killers is to be one yourself - Put on your seat belts and hit the road to NH10.

Eros International Presents a Phantom Films & Clean Slate Films.

Movie: NH10
Cast: Anushka Sharma, Neil Bhoopalam, Darshan Kumaar
Directed By: Navdeep Singh
Produced By: Sunil Lulla, Krishika Lulla, Anushka Sharma, Vikas Bahl, Anurag Kashyap & Vikramaditya Motwane

Movie releasing on 13th March, 2015

To watch more log on to http://www.erosnow.com/

For all the updates on our movies and more:
https://twitter.com/#!/ErosNow
https://www.facebook.com/ErosNow
https://plus.google.com/+erosentertainment
http://www.dailymotion.com/ErosNow 


For more updates on NH10:

https://www.facebook.com/NH10TheMovie 
https://twitter.com/NH10themovie
http://instagram.com/nh10themovie/
Snapchat - NH10TheMovie",2051,"https://m.youtube.com/details?v=A9icNqWlylw","Eros Now",153,"0","5420805","1483","15320","UCX52tYZiEh_mHoFja3Veciw","A9icNqWlylw",4.646968,16803,4817,23513,3753,4917,2015-02-05,36
"9","Dirty Politics",2015-03-06,1.3,3.94,7,7,"Flop","FFbwnve3yF62-tVXkTyHqg","2014-12-21T10:33:47.000Z","Music","Music","Dirty Politics Official Trailer - Mallika Sherawat, Anupam K, Jackie S, Om Puri & Naseeruddin Shah","Presenting the official trailer of 'Dirty Politics' starring Mallika Sherawat, Jackie Shroff, Anupam Kher, Om Puri, Atul Kulkarni, Ashutosh Rana, Rajpal Yadav, Sushant Singh, Govind Namdev, Charu Sharma, Naseeruddin Shah. 

Music Director -
Aadesh Shrivastav
Sanjeev Darshan

Director -
K.C. Bokadia

Story / Writers
K.C. Bokadia

Lyricist -
Sameer

To catch all the updates on Dirty Politics log on to :
Twitter - https://twitter.com/ZeeMusicCompany
Facebook - https://www.facebook.com/zeemusiccompany

Zee Music Company",199,"https://m.youtube.com/details?v=V5v72YRsKqc","Zee Music Company",160,"0","2347231","1027","2270","UCFFbwnve3yF62-tVXkTyHqg","V5v72YRsKqc",3.7540188,3297,924,2607,144,337,2014-12-21,75
"10","Dum Laga Ke Haisha",2015-02-27,1.1,6,10.65,30,"Hit","bTLwN10NoCU4WDzLf1JMOA","2015-02-05T10:29:48.000Z","Film","Film & Animation","Dum Laga Ke Haisha - Official TRAILER - Ayushmann Khurrana","""Dum Laga Ke Haisha"" - Exclusive Official Trailer 
<U+25BA> Buy from iTunes - http://goo.gl/AYWc4Y

Release Date: 27 February, 2015
Starring: Ayushmann Khurrana & Bhumi Pednekar 
Written & Directed by: Sharat Katariya 
Produced by: Maneesh Sharma
Music by: Anu Malik
Lyrics by: Varun Grover

From overcoming his fear of the English language to dealing with an overbearing father, Prem (Ayushmann Khurrana) discovers that his oversized and mismatched wife, Sandhya (Bhumi Pednekar), who he thought was a spanner in his business and life, will actually lead him to something quite cool.

Set Songs as your Caller Tune (India only):
<U+25BA> Moh Moh Ke Dhaage (Male) - http://tinyurl.com/ojabul3
<U+25BA> Dum Laga Ke Haisha - http://tinyurl.com/nakzmqv
<U+25BA> Tu - http://tinyurl.com/otej95z
<U+25BA> Sunder Susheel - http://tinyurl.com/nsfebn4
<U+25BA> Dard Karaara - http://tinyurl.com/orn3mwj
<U+25BA> Moh Moh Ke Dhaage (Female) - http://tinyurl.com/okdk7nb
<U+25BA> Prem's Theme - http://tinyurl.com/pbvheh3

Stay tuned to YRF for more videos: http://goo.gl/vyOc8o

For mobile downloads sms DLKH to 53131 (for India only).

Enjoy & stay connected with us!

<U+25BA> Like us on Facebook: https://facebook.com/Dumlagakehaisha
<U+25BA> Follow us on Twitter: https://twitter.com/Dumlagakehaisha
<U+25BA> Circle us on G+: https://plus.google.com/+yrf
<U+25BA> Follow us on Instagram: http://instagram.com/yrf",877,"https://m.youtube.com/details?v=lFZpPpSU3k0","YRF",175,"0","3099887","595","7983","UCbTLwN10NoCU4WDzLf1JMOA","lFZpPpSU3k0",4.722546,8578,3790,27544,4900,2926,2015-02-05,22
